date,state,count,amount,registeredUsers,date_id
2019-01-01,8,43956040,61141158575.555466,7712204,365
2019-01-01,9,57324504,76524180134.01337,12458661,365
2019-01-01,10,26356234,41502827514.5264,5745117,365
2019-01-01,11,240287,457993634.3840942,58956,365
2019-01-01,12,226506,609950106.3139493,76957,365
2019-01-01,13,168579,441941712.4123299,53911,365
2019-01-01,14,265409,659898060.4240798,99527,365
2019-01-01,15,70306,218160895.39740252,23670,365
2019-01-01,16,580926,756894941.6158212,183254,365
2019-01-01,17,208741,399037162.1534355,61487,365
2019-01-01,18,4533005,8002099536.450748,1259085,365
2019-01-01,19,47626388,50164672623.88053,7449425,365
2019-01-01,20,9387708,13627236449.278013,2279329,365
2019-01-01,21,34031942,35427127930.69939,4320744,365
2019-01-01,22,7887669,12544556385.328348,1908898,365
2019-01-01,23,37301049,48070279522.04944,6414403,365
2019-01-01,24,24991451,35856080308.47684,6652536,365
2019-01-01,25,661814,843369776.0499012,140532,365
2019-01-01,27,75079069,111420690920.34544,16284451,365
2019-01-01,28,57264522,83760595917.07922,8283019,365
2019-01-01,29,86587609,117976382145.76355,10266174,365
2019-01-01,30,738812,1475323397.2765768,238152,365
2019-01-01,31,2481,8786130.479338996,1416,365
2019-01-01,32,6469039,10235031134.849644,2136624,365
2019-01-01,33,32275045,56204036816.13193,6296303,365
2019-01-01,34,501092,906473024.3065227,133059,365
2019-01-01,35,30486,102299740.6734899,18596,365
2019-02-01,0,89610379,155676443182.43335,9046007,396
2019-02-01,1,2365127,6359397708.560909,666709,396
2019-02-01,2,2502306,4875883973.610579,772603,396
2019-02-01,3,8509830,18614793394.77229,2600112,396
2019-02-01,4,1252470,2693116098.9444556,240439,396
2019-02-01,5,4813275,8588532850.9185,1414339,396
2019-02-01,6,22741816,42501539813.21645,5178030,396
2019-02-01,7,57171512,81706816063.62819,6165448,396
2019-02-01,8,50009286,89107313172.66386,8783935,396
2019-02-01,9,58883500,98917519370.67369,14316349,396
2019-02-01,10,29960479,63132438283.54149,6589759,396
2019-02-01,11,388244,738894243.4359409,70999,396
2019-02-01,12,258656,752655874.3550282,95885,396
2019-02-01,13,188753,520066682.15850306,66891,396
2019-02-01,14,257425,722789942.1494999,117747,396
2019-02-01,15,75671,248016708.1350144,28696,396
2019-02-01,16,532558,841821482.8473763,217644,396
2019-02-01,17,232286,492931289.10727924,74746,396
2019-02-01,18,5454929,10954969189.126194,1500128,396
2019-02-01,19,47023535,57105691119.118675,8612795,396
2019-02-01,20,10128211,18622701305.546337,2604854,396
2019-02-01,21,29512024,44754854871.673485,4845359,396
2019-02-01,22,9389945,17002355688.822346,2191066,396
2019-02-01,23,40846013,68334566380.556305,7301172,396
2019-02-01,24,28981842,49320615219.26759,7574645,396
2019-02-01,25,489656,824441276.5650709,158580,396
2019-02-01,27,101149853,153294470088.05573,18776975,396
2019-02-01,28,56409015,113634518758.22745,9389003,396
2019-02-01,29,115401604,163702024226.08423,11968087,396
